MissileId	MissileName	MoveKind	Speed	DmgRangeType	DmgRange	DmgRangeY	IgnoreDmgRange	DmgInterval	LifeTime	DelayDeleteFrame	IsDmgVanish	CanRepeatDmg	MissileResID	CollResID	DmgRangeSpeed	IsDrag	PosOffsetLenght	IsNoChangeDir	MissRate	CollSoundID	FlySoundID	VanishSoundID	ColFollowTarget	AcceSpeed	CollBrigth	CollBrigthFrame	IsIgnoreBarrier	AutoExplode	VanishResID	MissileHeight	HeightSpeed	EnemyResID	IsRepresent	IsChildInheritDir	MissileParam1	MissileParam2	MissileParam3	MissileParam1Des	MissileParam2Des	MissileParam3Des	IsChildInheritPowerAdd	IsNotHeightSpeed	InheritPos	IsHitFloat
1		0	0	0	2				50		1			3024																														
2		2	40	0	2				30				4	3024																														
3		2	40	0	2				30				10	3024																														
4		0	0	0	2				50				11	3024																														
5		0	0	0	32				50				13																															
11		0	0	0	2				50				4	3024																														
12		0	0	0	32				50				11	3024																														
17	测试跳跃前摇后摇_子	0	0	0	32				50					3024																														
18	红色预警_子2	0	0	1	11				2					3024																														
19	红色预警	0	0	1	11				60				17																															
20	红色预警_子1	0	0	1	11				60				18																															
21	npc近身单体1	0	0	0	1				3					3021													1																	
22	npc近身单体2_爪子	0	0	0	1				3					3022																														
23	npc近身群体_小半月金	0	0	1	3				5					3021																														
24	npc近身群体1_金	0	0	0	9				25				24				120																											
25	npc近身群体1_水	0	0	0	9				25				25				120																											
26	npc近身群体1_火	0	0	0	9				25				26				120																											
27	npc近身群体1_木	0	0	0	9				25				27				120																											
28	身周群体1_金	0	0	1	20				25				18																															
29	身周群体2_水	0	0	1	20				25				1554																															
30	身周群体3_火	0	0	1	20				25				1808																															
31	身周群体4_木	0	0	1	20				25				2445																															
32	npc远程定点单体1_金	0	0	1	3				10				32	3024																														
33	npc远程定点单体1_水	0	0	1	3				10				33	3025																														
34	npc远程定点单体1_火	0	0	1	3				10				34	3026																														
35	npc远程定点单体1_木	0	0	1	3				10				35	3027																														
36	npc远程抛物线单体	1	50	0	1				15				36	3024																														
37	npc远程直线单体_水	1	90	0	5				6				37	3025										30																				
38	npc远程直线穿透_金	1	90	0	3				8				38	3024										10																				
39	npc远程直线穿透_水	1	90	0	3				8				39	3025										10																				
40	npc远程直线穿透_火	1	90	0	3				8				40	3026										10			1																	
41	npc远程直线穿透_木	1	90	0	3				8				41	3027										10																				
42	npc远程定点群体1_地	0	0	1	15				30				24																															
43	npc远程定点群体1_水	0	0	1	15				30				25																															
44	npc远程定点群体1_火	0	0	1	15				30				26																															
45	npc远程定点群体1_风	0	0	1	15				30				27																															
46	npc远程单控1_金	0	0	0	1				20					3024																														
47	npc远程单控1_水	0	0	0	1				20					3025																														
48	npc远程单控1_火	0	0	0	1				20					3026																														
49	npc远程单控1_木	0	0	0	1				20					3027																														
50	npc远程群控1_地	0	0	1	10				30				50																															
51	npc远程群控1_水	0	0	1	10				30				51																															
52	npc远程群控1_火	0	0	1	10				30				52																															
53	npc远程群控1_风	0	0	1	10				30				53																															
54	npc远程直线光球_金	1	60	0	3				11		1		54	3024										5																				
55	npc远程直线光球_水	1	60	0	3				11		1		55	3025										5																				
56	npc远程直线光球_火	1	60	0	3				11		1		56	3026			50							5																				
57	npc远程直线光球_木	1	60	0	3				11		1		57	3027										5																				
59	npc近身群体1_风	0	0	0	9				25				6059				120																											
60	npc近身群体1_风伤害	0	0	0	9				3					3059			120																											
61	身周群体伤害5_土	0	0	1	20				25				4375																															
62	身周群体伤害5_土伤害	0	0	1	20				3					3059																														
63	npc远程定点群体1_土	0	0	1	15				30				1375																															
64	npc远程定点群体1_土伤害	0	0	1	15				3					3059																														
65	npc远程单控1_土	0	0	0	1				20				1375	3059																														
66	npc远程群控1_土	0	0	1	10				30				4375																															
67	npc远程群控1_土伤害	0	0	1	10				3					3024																														
68	npc远程定点单体1_土	0	0	1	3				10				3068	3025																														
69	npc远程直线穿透_土	1	90	0	3				8				69	3025									10																					
70	npc近身群体1_金伤害	0	0	0	9				3					3024			120																											
71	npc近身群体1_水伤害	0	0	0	9				3					3025			120																											
72	npc近身群体1_火伤害	0	0	0	9				3					3026			120																											
73	npc近身群体1_木伤害	0	0	0	9				3					3027			120																											
74	npc近身群体2_地伤害	0	0	1	20				3					3024																														
75	npc近身群体2_水伤害	0	0	1	20				3					3025																														
76	npc近身群体2_火伤害	0	0	1	20				3					3026																														
77	npc近身群体2_风伤害	0	0	1	20				3					3027																														
78	npc远程定点群体1_地伤害	0	0	1	15				3					3024																														
79	npc远程定点群体1_水伤害	0	0	1	15				3					3025																														
80	npc远程定点群体1_火伤害	0	0	1	15				3					3026																														
81	npc远程定点群体1_风伤害	0	0	1	15				3					3027																														
86	npc远程群控1_地伤害	0	0	1	10				3					3024																														
87	npc远程群控1_水伤害	0	0	1	10				3					3025																														
88	npc远程群控1_火伤害	0	0	1	10				3					3026																														
89	npc远程群控1_风伤害	0	0	1	10				3					3027																														
90	骷髅王刀光	0	0	0	18				5					3026			250			15090					1000	3	1																	
92	骷髅王冲击波	1	100	0	8				30					3026			100										1																	
93	骷髅王绞杀	0	0	1	34				45				92				0																											
94	骷髅王绞杀_子	0	0	1	34				3					3026			0																											
95	通用红色预警_半径圆4.5米	0	0	1	34				38				95														1																	
96	通用红色预警_矩形8*4.5米	0	0	0	11				30				96														1																	
97	通用红色预警_扇形90度3米	0	0	0	11				30				97														1																	
101	测试击飞	0	0	0	8				3					3024			100								1000	3																		
102	测试特殊死亡冰冻	0	0	0	8				3					3024			100								1000	3																		
103	骷髅王冲击波_效果	0	0	0	8			15	30				92				100										1																	
106	npc远程直线光球_土	1	60	0	3				11		1		106	3024										5																				
110	刀击	0	0	0	8				3					3024			100						1		1000	3	1																	
111	蛮横霸道_伤害	1	140	0	12				6					3027			110										0																	
112	蛮横霸道_效果	0	0	0	6				30				18				0										1																	
113	神力	0	0	0	20				5					3027											1000	3																		
115	万象天引	0	0	0	30				3		1																																	
116	万象天引_子	0	0	0	30				2		1			3024											1000	3																		
117	剑击	0	0	0	14				3					3024			150								1000	3	1																	
118	金蛇擒鹤拳	0	0	0	30				3		1																																	
119	狂剑诀	0		0	6				4				119				500										1																	
120	狂剑诀_子1	1	100	0	6				5				119				-500							10			1																	
121	狂剑诀_子2	0	0	0	28				3					3024													1																	
122	金蛇剑法	0	0	0	14				20				122				250										1																	
123	金蛇剑法_子1	0	0	0	14				20				123				250										1																	
124	金蛇剑法_子2	0	0	0	14				20				124				250										1																	
126	神行百变_子1	1	120	0	8				6				126														1																	
127	神行百变_子2	0	0	0	0				25				6508																															
129	箭术	1	100	1	5				10				129	3403										30			1																	
130	箭无虚发	2	50	1	3				30		1		130	4130			100																											
131	箭无虚发_子	0	0	1	20				3					3401			100								1000	3	1																	
