NpcTemplateID	IconAltlas	SkillIDJump	SkillLevelJump	JumpIconAltlas	BtnIconJump	SkillID0	SkillLevel0	BtnIcon0	SkillID1	SkillLevel1	BtnIcon1	SkillID2	SkillLevel2	BtnIcon2	SkillID3	SkillLevel3	BtnIcon3	SkillID4	SkillLevel4	BtnIcon4	SkillID5	SkillLevel5	BtnIcon5	WeaponType5	SkillID6	SkillLevel6	BtnIcon6	WeaponType6	SkillID7	SkillLevel7	BtnIcon7	WeaponType7	SkillID8	SkillLevel8	BtnIcon8	WeaponType8	SkillID9	SkillLevel9	BtnIcon9	WeaponType9
28	UI/Atlas/SkillIcon/TH_Skill.prefab					2251	1	TaohuaSkill_01	2252	1	TaohuaSkill_02	2255	1	TaohuaSkill_03							2256	1																		
511	UI/Atlas/SkillIcon/TW_Skill.prefab					2101	1	TianwangSkill_01	2108	1	TianwangSkill_04	2105	1	TianwangSkill_02	2111	1	TianwangSkill_03	2107	1	TianwangSkill_05																				
512	UI/Atlas/SkillIcon/EM_Skill.prefab					2112	1	EmeiSkill_01	2121	1	EmeiSkill_05	2119	1	EmeiSkill_04	2116	1	EmeiSkill_02	2118	1	EmeiSkill_03																				
513	UI/Atlas/SkillIcon/TH_Skill.prefab					2123	1	TaohuaSkill_01	2130	1	TaohuaSkill_04	2128	1	TaohuaSkill_03	2127	1	TaohuaSkill_02	2132	1	TaohuaSkill_05																				
514	UI/Atlas/SkillIcon/XY_Skill.prefab					2137	1	XiaoyaoSkill_01	2143	1	XiaoyaoSkill_03	2147	1	XiaoyaoSkill_04	2141	1	XiaoyaoSkill_02	2150	1	XiaoyaoSkill_05																				
816	UI/Atlas/SkillIcon/WD_Skill.prefab					2153	1	WudangSkill_01	2166	1	WudangSkill_05	2161	1	WudangSkill_02	2165	1	WudangSkill_04	2163	1	WudangSkill_03																				
817	UI/Atlas/SkillIcon/TR_Skill.prefab					2168	1	TianrenSkill_01	2172	1	TianrenSkill_02	2175	1	TianrenSkill_03	2177	1	TianrenSkill_04	2183	1	TianrenSkill_05																				
1789	UI/Atlas/SkillIcon/SL_Skill.prefab					2186	1	ShaolinSkill_01	2191	1	ShaolinSkill_03	2190	1	ShaolinSkill_02	2192	1	ShaolinSkill_04	2193	1	ShaolinSkill_05																				
1790	UI/Atlas/SkillIcon/CY_Skill.prefab					2979	1	CuiyanSkill_01	2986	1	CuiyanSkill_03	2983	1	CuiyanSkill_02	2991	1	CuiyanSkill_04	2993	1	CuiyanSkill_05																				
1961	UI/Atlas/SkillIcon/TM_Skill.prefab					3401	1	TangmenSkill_01	3407	1	TangmenSkill_03	3405	1	TangmenSkill_02	3409	1	Tangmen_bd03	3410	1	TangmenSkill_04																				
