nMainEffectId	nMaleId	nFemaleId	Desc
9091	9091	525021	天王锤法1
9092	9092	525022	天王锤法2
9076	9076	525023	天王金钟罩
210	210	525024	天王血战八方
14201	14201	514201	丐帮
14202	14202	514202	丐帮
14204	14204	514204	丐帮
14206	14206	514206	丐帮
15001	15001	515001	霸刀
15002	15002	515002	霸刀
15003	15003	515003	霸刀
15004	15004	515004	霸刀
15005	15005	515005	霸刀
15006	15006	515006	霸刀
15008	15008	515008	霸刀
15011	15011	515011	霸刀
15015	15015	515015	霸刀
15020	15020	515020	霸刀
25006	25006	525006	霸刀
25008	25008	525008	霸刀
25015	25015	525015	霸刀
15601	15601	515601	段氏
15602	15602	515602	段氏
15604	15604	515604	段氏
15606	15606	515606	段氏
15608	15608	515608	段氏
15611	15611	515611	段氏
25601	25601	525601	段氏
