Level	HitParam0	HitParam1	MissParam0	MissParam1	DeadlyStrikeParam0	DeadlyStrikeParam1	SeriesResistParam0	SeriesResistParam1	SeriesTrimParam0	SeriesTrimParam1	StateBaseRateParam	StateBaseTimeParam
1	1	15	1	1575	0.9	510	1	30	1	208	250	250
2	1	20	1	1650	0.9	520	1	50	1	216	250	250
3	1	25	1	1725	0.9	530	1	70	1	224	250	250
4	1	30	1	1800	0.9	540	1	90	1	232	250	250
5	1	35	1	1875	0.9	550	1	110	1	240	250	250
6	1	40	1	1950	0.9	560	1	130	1	248	250	250
7	1	45	1	2025	0.9	570	1	150	1	256	250	250
8	1	50	1	2100	0.9	580	1	170	1	264	250	250
9	1	55	1	2175	0.9	590	1	190	1	272	250	250
10	1	60	1	2250	0.9	600	1	210	1	280	250	250
11	1	65	1	2325	0.9	610	1	230	1	288	250	250
12	1	70	1	2400	0.9	620	1	250	1	296	250	250
13	1	75	1	2475	0.9	630	1	270	1	304	250	250
14	1	80	1	2550	0.9	640	1	290	1	312	250	250
15	1	85	1	2625	0.9	650	1	310	1	320	250	250
16	1	90	1	2700	0.9	660	1	330	1	328	250	250
17	1	95	1	2775	0.9	670	1	350	1	336	250	250
18	1	100	1	2850	0.9	680	1	370	1	344	250	250
19	1	105	1	2925	0.9	690	1	390	1	352	250	250
20	1	110	1	3000	0.9	700	1	410	1	360	250	250
21	1	115	1	3075	0.9	710	1	430	1	368	250	250
22	1	120	1	3150	0.9	720	1	450	1	376	250	250
23	1	125	1	3225	0.9	730	1	470	1	384	250	250
24	1	130	1	3300	0.9	740	1	490	1	392	250	250
25	1	135	1	3375	0.9	750	1	510	1	400	250	250
26	1	140	1	3450	0.9	760	1	530	1	408	250	250
27	1	145	1	3525	0.9	770	1	550	1	416	250	250
28	1	150	1	3600	0.9	780	1	570	1	424	250	250
29	1	155	1	3675	0.9	790	1	590	1	432	250	250
30	1	160	1	3750	0.9	800	1	610	1	440	250	250
31	1	165	1	3825	0.9	810	1	630	1	448	250	250
32	1	170	1	3900	0.9	820	1	650	1	456	250	250
33	1	175	1	3975	0.9	830	1	670	1	464	250	250
34	1	180	1	4050	0.9	840	1	690	1	472	250	250
35	1	185	1	4125	0.9	850	1	710	1	480	250	250
36	1	190	1	4200	0.9	860	1	730	1	488	250	250
37	1	195	1	4275	0.9	870	1	750	1	496	250	250
38	1	200	1	4350	0.9	880	1	770	1	504	250	250
39	1	205	1	4425	0.9	890	1	790	1	512	250	250
40	1	210	1	4500	0.9	900	1	810	1	520	250	250
41	1	215	1	4575	0.9	910	1	830	1	528	250	250
42	1	220	1	4650	0.9	920	1	850	1	536	250	250
43	1	225	1	4725	0.9	930	1	870	1	544	250	250
44	1	230	1	4800	0.9	940	1	890	1	552	250	250
45	1	235	1	4875	0.9	950	1	910	1	560	250	250
46	1	240	1	4950	0.9	960	1	930	1	568	250	250
47	1	245	1	5025	0.9	970	1	950	1	576	250	250
48	1	250	1	5100	0.9	980	1	970	1	584	250	250
49	1	255	1	5175	0.9	990	1	990	1	592	250	250
50	1	260	1	5250	0.9	1000	1	1010	1	600	250	250
51	1	265	1	5325	0.9	1010	1	1030	1	608	250	250
52	1	270	1	5400	0.9	1020	1	1050	1	616	250	250
53	1	275	1	5475	0.9	1030	1	1070	1	624	250	250
54	1	280	1	5550	0.9	1040	1	1090	1	632	250	250
55	1	285	1	5625	0.9	1050	1	1110	1	640	250	250
56	1	290	1	5700	0.9	1060	1	1130	1	648	250	250
57	1	295	1	5775	0.9	1070	1	1150	1	656	250	250
58	1	300	1	5850	0.9	1080	1	1170	1	664	250	250
59	1	305	1	5925	0.9	1090	1	1190	1	672	250	250
60	1	310	1	6000	0.9	1100	1	1210	1	680	250	250
61	1	315	1	6075	0.9	1110	1	1230	1	688	250	250
62	1	320	1	6150	0.9	1120	1	1250	1	696	250	250
