SkillID	RelSkillID1	RelSkillID2	RelSkillID3	RelSkillID4	RelSkillID5
201	202	203	204		
261	262	263	264		
301	302	303	304		
401	402	403	404		
501	502	503	504		
601	602	603	604		
611	605	606			
701	702	703	704		
714	715	716	717		
801	802	803	804		
806	807				
1101	1102	1103	1104		
1111	1112	1113	1114		
1131	1132	1133	1134		
1140	1141	1142	1143		
1181	1182	1183	1184		
1191	1192	1193	1194		
1221	1222	1223	1224		
1234	1235	1236	1237		
1779	1784				
1782	1783				
2101	2102	2103	2104		
2112	2113	2114	2115		
2123	2124	2125	2126		
2137	2138	2139	2140		
2153	2154	2155	2156		
2168	2169	2170	2171		
2179	2180	2181	2182		
2186	2187	2188	2189		
2809	2810	2811	2812		
2815	2816	2817	2818		
2821	2822	2823	2824		
2825	2826	2827	2828		
2979	2980	2981	2982		
3328	3329	3330	3331		
3332	3333	3334	3335		
3336	3337	3338	3339		
3340	3341	3342	3343		
3401	3402	3403	3404		
3414	3415	3416	3417		
3477	3478	3479	3481		
3601	3602	3603	3604		
4001	4002	4003	4004		
4101	4102	4103	4104		
4201	4202	4203	4205		
4006	4064				
4010	4005				
4301	4302	4303	4304		
4401	4402	4403	4404		
4481	4482	4483	4484		
4501	4502	4503	4504		
4581	4582	4583	4584		
4601	4602	4603	4604		
4681	4682	4683	4684		
5001	5002	5003	5004		
5071	5072	5073	5074		
5201	5202	5203	5204		
5206	5217				
5215	5233				
5271	5272	5273	5274		
5501	5502	5503	5504		
5515	5518				
4312	4314	4316	4318	4320	
5601	5602	5603	5604		
5626	5630	5641			
5703	5704				
5705	5706				
5707	5708				
5709	5710				
5711	5712				
5721	5723				
5801	5802	5803	5804		
5831	5832	5833			
5837	5839	5840			
5844	5846				
5850	5852				
5868	5871				
5869	5871				
5870	5871				
5901	5902	5903	5904		
5912	5913	5914	5915		
5928	5929				
5931	5932				
5933	5934				
5943	5948				
