GroupId	SkillLevel	ReqLevel	Coin	Exp	SkillPoint	FightPower
1	1	1				
1	2	2			1	
1	3	3			1	
1	4	4			1	
1	5	5			1	
1	6	6			1	
1	7	7			1	
1	8	8			1	
1	9	9			1	
1	10	10			1	
1	11	11			1	
1	12	12			1	
1	13	13			1	
1	14	14			1	
1	15	15			1	
1	16	16			1	
1	17	17			1	
1	18	18			1	
1	19	19			1	
1	20	20			1	
2	1	1				
2	2	2			1	
2	3	3			1	
2	4	4			1	
2	5	5			1	
2	6	6			1	
2	7	7			1	
2	8	8			1	
2	9	9			1	
2	10	10			1	
2	11	11			1	
2	12	12			1	
2	13	13			1	
2	14	14			1	
2	15	15			1	
3	1	4				
3	2	5			1	
3	3	6			1	
3	4	7			1	
3	5	8			1	
3	6	9			1	
3	7	10			1	
3	8	11			1	
3	9	12			1	
3	10	13			1	
3	11	14			1	
3	12	15			1	
3	13	16			1	
3	14	17			1	
3	15	18			1	
4	1	10				
4	2	11			1	
4	3	12			1	
4	4	13			1	
4	5	14			1	
4	6	15			1	
4	7	16			1	
4	8	17			1	
4	9	18			1	
4	10	19			1	
4	11	20			1	
4	12	21			1	
4	13	22			1	
4	14	23			1	
4	15	24			1	
5	1	20				
5	2	21			1	
5	3	22			1	
5	4	23			1	
5	5	24			1	
5	6	25			1	
5	7	26			1	
5	8	27			1	
5	9	28			1	
5	10	29			1	
6	1	30				
6	2	31			1	
6	3	32			1	
6	4	33			1	
6	5	34			1	
6	6	35			1	
6	7	36			1	
6	8	37			1	
6	9	38			1	
6	10	39			1	
6	11	40			1	
6	12	41			1	
6	13	42			1	
6	14	43			1	
6	15	44			1	
7	1	40				
7	2	41			1	
7	3	42			1	
7	4	43			1	
7	5	44			1	
7	6	45			1	
7	7	46			1	
7	8	47			1	
7	9	48			1	
7	10	49			1	
8	1	50				
8	2	51			1	
8	3	52			1	
8	4	53			1	
8	5	54			1	
8	6	55			1	
8	7	56			1	
8	8	57			1	
8	9	58			1	
8	10	59			1	
9	1	60				
9	2	61			1	
9	3	62			1	
9	4	63			1	
9	5	64			1	
9	6	65			1	
9	7	66			1	
9	8	67			1	
9	9	68			1	
9	10	69			1	
10	1	70				
10	2	71			1	
10	3	72			1	
10	4	73			1	
10	5	74			1	
10	6	75			1	
10	7	76			1	
10	8	77			1	
10	9	78			1	
10	10	79			1	
11	1	80				
11	2	81			1	
11	3	82			1	
11	4	83			1	
11	5	84			1	
11	6	85			1	
11	7	86			1	
11	8	87			1	
11	9	88			1	
11	10	89			1	
11	11	90			1	
11	12	91			1	
11	13	92			1	
11	14	93			1	
11	15	94			1	
11	16	95			1	
11	17	96			1	
11	18	97			1	
11	19	98			1	
11	20	99			1	
12	1	90				
12	2	91			1	
12	3	92			1	
12	4	93			1	
12	5	94			1	
12	6	95			1	
12	7	96			1	
12	8	97			1	
12	9	98			1	
12	10	99			1	
13	1					
