StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead	ShowSort	HightLightSkill	RequireSuperpose
114	钢之铠甲	114																		
195	首领光环	9031																		
197	精英光环	197																		
198	篝火	198																		
199	修炼珠											打怪经验：[00ff00]%s[-]倍\n剩余经验：[00ff00]%s[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
213	金钟罩	9076										基础全系抗性 +[00ff00]all_series_resist_p1%[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]点\n抗属性效果几率 +[00ff00]resist_allseriesstate_rate_v1[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
217	初级秘籍：野蛮冲撞											基础会心几率 +[00ff00]deadlystrike_p1%[-]	Tianwang_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
221	初级秘籍：霸王怒吼											近程伤害抗性 +[00ff00]melee_dmg_p1%[-]\n远程伤害抗性 +[00ff00]remote_dmg_p1%[-]	Tianwang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
219	破釜沉舟	2416										无敌	Tianwang_bd03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
225	一骑当千											基础全系抗性 +[00ff00]all_series_resist_p1%[-]	Tianwang_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
241	惊雷破天											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Tianwang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
246	气盖八荒											基础生命上限 +[00ff00]lifemax_p1%[-]	Tianwang_bd09_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
247	气盖八荒											基础生命上限 +[00ff00]lifemax_p1%[-]	Tianwang_bd09_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
270	金刚伏魔	3270						120	5			免疫属性效果\n免疫负面效果\n会心伤害 +[00ff00]deadlystrike_damage_p1%[-]\n会心免伤 +[00ff00]weaken_deadlystrike_damage_p1%[-]	ShaolinSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
273	罗汉阵	273																		
279	立地成佛											基础全系抗性 +[00ff00]all_series_resist_p1%[-]	Shaolin_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
281	金刚怒目	3281										基础全系抗性 +[00ff00]all_series_resist_p1%[-]\n金刚怒目的基础攻击 +[00ff00]add_usebasedmg_p12%[-]	Shaolin_bd05_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
297	高级秘籍：十二擒龙手											基础攻击力 [FF3030]降低physics_potentialdamage_p1%[-]	Sl_mj03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
306	慈航普度	3306										每隔[00ff00]1[-]秒回复[00ff00]dir_recover_life_pp1/100%[-]最大生命	Emei_jx01_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
316	秘籍：慈航普度											免疫属性效果	Em_mj02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
318	绵里藏针											每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
328	秘籍：天舞宝轮											全系抗性 +[00ff00]all_series_resist_v1[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
329	秘籍：天舞宝轮																			
330	秘籍：天舞宝轮											清除并免疫属性效果与负面效果	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
331	秘籍：天舞宝轮											基础移动速度 +[00ff00]runspeed_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
377	秘籍：天舞宝轮											基础闪避 [FF3030]降低defense_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
341	佛心慈佑											抗属性效果几率 +[00ff00]resist_allseriesstate_rate_v1[-]\n抗属性效果时间 +[00ff00]resist_allseriesstate_time_v1[-]\n抗负面效果几率 +[00ff00]resist_allspecialstate_rate_v1[-]\n抗负面效果时间 +[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
342	佛心慈佑											抗属性效果几率 +[00ff00]resist_allseriesstate_rate_v1[-]\n抗属性效果时间 +[00ff00]resist_allseriesstate_time_v1[-]\n抗负面效果几率 +[00ff00]resist_allspecialstate_rate_v1[-]\n抗负面效果时间 +[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
406	火凤燎原	406										移动速度 +[00ff00]runspeed_v1[-]\n攻速 +[00ff00]attackspeed_v1[-]\n忽略最终抗性 +[00ff00]ignore_all_resist2%[-]\n基础闪避 +[00ff00]defense_p1%[-]	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
414	初级秘籍：火凤燎原											免疫负面效果\n免疫受伤效果	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
426	浴火重生											每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	Taohua_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
459	高级秘籍：火凤燎原											基础闪避 +[00ff00]defense_p1%[-]	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
466	轻云蔽月											攻击速度 +[00ff00]attackspeed_v1[-]\n桃花箭术 基础攻击 +[00ff00]add_usebasedmg_p12%[-]\n桃花箭术 无视无敌	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
518	高级秘籍：七探蛇盘											抗属性效果几率 [FF3030]降低resist_allseriesstate_rate_v1[-]\n抗负面效果几率 [FF3030]降低resist_allspecialstate_rate_v1[-]	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
520	初级秘籍：风卷残云											基础全系抗性 [FF3030]降低all_series_resist_p1%[-]	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
523	三元归一	523										基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
542	逍遥御风	2888										基础闪避值 +[00ff00]defense_p1%[-]\n基础会心几率 +[00ff00]deadlystrike_p1%[-]\n移动速度 +[00ff00]runspeed_v1[-]\n免疫属性效果\n免疫负面效果	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
527	寰宇逍遥游	527																		
562	悲酥清风											基础全系抗性 +[00ff00]all_series_resist_p1%[-]\n基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
613	坐忘无我	613										总抵御伤害点数：[00ff00]t_magicshield1[-]\n免疫诅咒几率 +[00ff00]ignore_dmgskill1/100%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
616	天地无极											基础全系抗性 [FF3030]降低all_series_resist_p1%[-]\n基础闪避 [FF3030]降低defense_p1%[-]	BUFF_Earth	UI/Atlas/NewAtlas/Buff/Buff.prefab						
618	太一真气	2849										清除并免疫属性效果	Wudang_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
625	初级秘籍：坐忘无我											[8dccf7]<剑飞惊天>[-]的基础攻击力 +[00ff00]add_usebasedmg_p12%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
645	真武七截											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
646	真武七截											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
650	中级秘籍：无我无剑											下一次[8dccf7]<武当剑法>[-]触发[8dccf7]<剑飞惊天>[-]	Changge_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
655	中级秘籍：天地无极											忽略全系抗性 +[00ff00]ignore_all_resist_vp1%[-]\n生命吸取 +[00ff00]steallife_p1%[-]	Tianshan_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
657	中级秘籍：人剑合一											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]\n攻击速度 +[00ff00]attackspeed_v1[-]点	WudangSkill_03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
662	高级秘籍：坐忘无我											近程伤害抗性 +[00ff00]melee_dmg_p1%[-]\n远程伤害抗性 +[00ff00]remote_dmg_p1%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
666	七星诀											基础会心几率 [FF3030]降低deadlystrike_p1%[-]\n基础移动速度 [FF3030]降低runspeed_p1%[-]	Wudang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
667	七星诀											基础会心几率 +[00ff00]deadlystrike_p1%[-]\n基础移动速度 +[00ff00]runspeed_p1%[-]	Wudang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
