SoundID	Desc	Bank	Sound
1	测试	Ui	Play_SMS_Receive
2	片头动画01	Movie	Play_CG01
3	片头动画02	Movie	Play_CG02
4	新手战场动画10秒	Movie	Play_CG03
5	片头CG背景音乐音效	Movie	Play_CG00
6	恶人谷06	Movie	Play_CG04
8	点唱机	Album	Play_HuaDiWeiLao
10	剑侠情	Album	Play_JianXiaQing
11	画地为牢	Album	Play_HuaDiWeiLao
12	三生三世	Album	Play_SanShengSanShi
13	剑侠情缘	Album	Play_JianXiaQing
14	笑问情缘	Album	Play_XiaoWenQingYuan
15	天仙子	Album	Play_TianXianZi
16	爱的废墟女声版	Album	Play_AiDeFeiXuVocal
17	与情缘书	Theme	Play_Theme_YuQingYuanShu
18	Yes I do	VN_Theme2018	Play_VN_Theme_YesIDo
	老登录界面音乐	Bgm	Play_Bgm_Login
20	战场音乐	Bgm	Play_Bgm_Zhanchang
21	战场准备区大英雄-歌曲	Album	Play_DaYingXiong
30	随机秘境-BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
31	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
32	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
33	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
34	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
35	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
40	动画峨嵋轻功	Movie	Play_Movie_Em_Qg
41	动画桃花轻功	Movie	Play_Movie_Th_Qg
42	动画天忍轻功	Movie	Play_Movie_Tr_Qg
43	动画天王轻功	Movie	Play_Movie_Tw_Qg
44	动画武当轻功	Movie	Play_Movie_Wd_Qg
45	动画逍遥轻功	Movie	Play_Movie_Xy_Qg
46	2-6卓非凡出场	Movie	Play_CG05_chuchang
47	2-6卓非凡被杀	Movie	Play_CG06_jisha
48	3-7纳兰潜凛出场	Movie	Play_CG07_nalan
49	7-7张琳心掉崖	Movie	Play_CG08_tiaoya
50	6-3无相出场	Movie	Play_CG09_wuxiang
60	双人轻功	Moive3	Play_CG_ShuangRenQG
61	新手关	Movie2	Play_CG10_xinshou
62	新手关最后	Movie2	Play_CG11_xinshou
63	重置版-天王轻功	Movie2	Play_Movie_Tianwang_Qg
64	重置版-峨眉轻功	Movie2	Play_Movie_Emei_Qg
65	重置版-桃花轻功	Movie2	Play_Movie_Taohua_Qg
66	重置版-逍遥轻功	Movie2	Play_Movie_Xiaoyao_Qg
67	重置版-天忍轻功	Movie2	Play_Movie_Tianren_Qg
68	重置版-少林轻功	Movie2	Play_Movie_Shaolin_Qg
69	重置版-翠烟轻功	Movie2	Play_Movie_Cuiyan_Qg
70	重置版-昆仑轻功	Movie2	Play_Movie_Kunlun_Qg
71	重置版-丐帮轻功	Movie2	Play_Movie_Gaibang_Qg
72	重置版-五毒轻功	Movie2	Play_Movie_Wudu_Qg
73	重置版-长歌轻功	Movie2	Play_Movie_Changge_Qg
74	重置版-天山轻功	Movie2	Play_Movie_Tianshan_Qg
1001	主城婚礼BGM	Wedding	Play_Bgm_Wedding01
1002	主城花车巡游	Wedding	Play_Bgm_Wedding02
1003	婚礼现场小场景	Wedding	Play_Bgm_Wedding03
1004	金属锣	Ui_Inst	Play_UI_Inst_Gong
1005	鼓	Ui_Inst	Play_UI_Inst_Gu
1006	罄	Ui_Inst	Play_UI_Inst_Qin
1007	编钟	Ui_Inst	Play_UI_Inst_Zhong
1008	婚礼CG音乐-全程热烈带音效	Weedding_CG	Play_Wedding_CG02
1009	婚礼CG音乐-气氛稍低带音效	Weedding_CG	Play_Wedding_CG01
1010	婚礼房间音乐-三首顺序循环播放	Wedding	Play_Wedding_Album
4001	高级外装-壮男	Ext	Play_Ext_M2
4002	高级外装-标女	Ext	Play_Ext_F2
4003	高级外装-萝莉	Ext	Play_Ext_F1
4004	高级外装-标男	Ext	Play_Ext_M1
4005	2018秋装-壮男、标男	Ext_1810	Play_Ext_Antumn1810_Male
4006	2018秋装-标女、萝莉	Ext_1810	Play_Ext_Autumn1810_Female
4007	2018冬装-壮男、标男	Ext_1810	Play_Ext_Winter1810_Male
4008	2018冬装-标女、萝莉	Ext_1810	Play_Ext_Winter1810_Female
4009	2019春装-壮男、标男	Ext_1903	Play_Ext_YanNanGui_Male
4010	2019春装-标女、萝莉	Ext_1903	Play_Ext_YanNanGui_Female
4011	2019夏装-男	Ext_1907	Play_Ext_Summer1907_Male
4012	2019夏装-女	Ext_1907	Play_Ext_Summer1907_Female
4013	2019夏装-男与标女（第一次）	Ext_1907	Play_Ext_Summer1907F1_Intro
4014	2019夏装-男与标女（第二次循环）	Ext_1907	Play_Ext_Summer1907F1_Loop
4015	2019夏装-男与萝莉（第一次）	Ext_1907	Play_Ext_Summer1907F2_Intro
4016	2019夏装-男与萝莉（第二次循环）	Ext_1907	Play_Ext_Summer1907F2_Loop
4017	2019冬季锦鲤-男	Ext_1911	Play_Ext_JinLi_M1
4018	2019冬季锦鲤-女	Ext_1911	Play_Ext_JinLi_F1
4019	2019秋季盛典-男	Ext_1911	Play_Ext_ShengDian_M1
4020	2019秋季盛典-女	Ext_1911	Play_Ext_ShengDian_F1
4021	2019秋季盛典-故梦BGM	Ext_1911	Play_Ext_GuMeng
5101	登录界面选中语音-天王	UI_KoreaVioce	Play_UI_KoreaVioce_TianWang
5102	登录界面选中语音-峨眉	UI_KoreaVioce	Play_UI_KoreaVioce_Emei
5103	登录界面选中语音-桃花	UI_KoreaVioce	Play_UI_KoreaVioce_TaoHua
5104	登录界面选中语音-逍遥	UI_KoreaVioce	Play_UI_KoreaVioce_XiaoYao
5105	登录界面选中语音-武当	UI_KoreaVioce	Play_UI_KoreaVioce_WuDang
5106	登录界面选中语音-天忍	UI_KoreaVioce	Play_UI_KoreaVioce_TianRen
5107	登录界面选中语音-少林	UI_KoreaVioce	Play_UI_KoreaVioce_ShaoLin
5108	登录界面选中语音-翠烟	UI_KoreaVioce	Play_UI_KoreaVioce_CuiYan
5109	登录界面选中语音-唐门	UI_KoreaVioce	Play_UI_KoreaVioce_TangMen
5110	登录界面选中语音-昆仑	UI_KoreaVioce	Play_UI_KoreaVioce_KunLun
5111	登录界面选中语音-丐帮	UI_KoreaVioce	Play_UI_KoreaVioce_GaiBang
5112	登录界面选中语音-五毒	UI_KoreaVioce	Play_UI_KoreaVioce_WuDu
5113	登录界面选中语音-藏剑	UI_KoreaVioce	Play_UI_KoreaVioce_CangJian_M
5114	登录界面选中语音-长歌	UI_KoreaVioce	Play_UI_KoreaVioce_ChangGe_Fm
5115	登录界面选中语音-天山男	UI_KoreaVioce	Play_UI_KoreaVioce_TianShan_M
5116	登录界面选中语音-天山女	UI_KoreaVioce	Play_UI_KoreaVioce_TianShan_Fm
5117	登录界面选中语音-霸刀男	UI_KoreaVioce	Play_UI_KoreaVioce_BaoDao_M
5118	登录界面选中语音-霸刀女	UI_KoreaVioce	Play_UI_KoreaVioce_BaoDao_Fm
5119	登录界面选中语音-武当女	UI_KoreaVioce	Play_UI_KoreaVioce_WuDang_Fm
5120	登录界面选中语音-华山男	UI_KoreaVioce	Play_UI_KoreaVioce_HuaShan_M
5121	登录界面选中语音-华山女	UI_KoreaVioce	Play_UI_KoreaVioce_HuaShan_Fm
5122	登录界面选中语音-昆仑男	UI_KoreaVioce	Play_UI_KoreaVioce_KunLun_M
5123	登录界面选中语音-明教男	UI_KoreaVioce	Play_UI_KoreaVioce_MingJiao_M
5124	登录界面选中语音-明教女	UI_KoreaVioce	Play_UI_KoreaVioce_MingJiao_Fm
5125	登录界面选中语音-天王女	UI_KoreaVioce	Play_UI_KoreaVioce_TianWang_Fm
5200	天王登场	Tw	Play_Tw_Dc
5201	天王锤法一式	Tw	Play_Tw01_01
5202	天王锤法二式	Tw	Play_Tw01_01
5203	天王锤法三式	Tw	Play_Tw01_01
5204	天王锤法四式	Tw	Play_Tw01_04
5206	天王野蛮冲撞	Tw	Play_Tw02
5208	天王霸王怒吼	Tw	Play_Tw03
5210	天王血战八方	Tw	Play_Tw05
5213	天王金钟罩	Tw	Play_Tw04
5214	天王怒气技日月山河碎	Tw	Play_Tw_00
5215	天王（女）锤法一式	Tw	Play_Tw01_01_Female
5216	天王（女）锤法二式	Tw	Play_Tw01_02_Female
5217	天王（女）锤法四式	Tw	Play_Tw01_04_Female
5218	天王（女）野蛮冲撞	Tw	Play_Tw02_Female
5219	天王（女）霸王怒吼	Tw	Play_Tw03_Female
5220	天王（女）血战八方	Tw	Play_Tw05_Female
5221	天王（女）金钟罩	Tw	Play_Tw04_Female
5222	天王（女）怒气技日月山河碎	Tw	Play_Tw_00_Female
5300	峨嵋登场	Em	Play_Em_Dc
5301	峨眉剑法一式	Em	Play_Em_01_01
5302	峨眉剑法二式	Em	Play_Em_01_03
5303	峨眉剑法三式	Em	Play_Em_01_02
5304	峨眉剑法四式	Em	Play_Em_01_04
5305	峨嵋剑法被击	Em	Play_Em_01_Hit
5306	峨眉慈航普渡	Em	Play_Em_02_01
5308	峨眉白露凝霜	Em	Play_Em_03_01
5309	峨嵋白露被击	Em	Play_Em_03_Hit
5310	峨眉江海凝波	Em	Play_Em_04_01
5311	峨嵋四招被击	Em	Play_Em_04_Hit
5312	峨眉天舞宝轮	Em	Play_Em_05_01
5313	峨嵋五招被击	Em	Play_Em_05_Hit
5346	峨眉怒气技冰魄红莲劫	Em	Play_Em_00
5400	桃花登场	Th	Play_Th_Dc
5401	桃花箭术一式	Th	Play_Th_01_01
5402	桃花箭术二式	Th	Play_Th_01_02
5403	桃花箭术三式	Th	Play_Th_01_01
5404	桃花箭术四式	Th	Play_Th_01_03
5405	桃花箭术被击	Th	Play_Th_01_Hit
5406	桃花火凤燎原	Th	Play_Th_02_01
5407	桃花飞火流星	Th	Play_Th_03_01
5408	桃花三招被击	Th	Play_Th_03_Hit
5410	桃花九曜连珠	Th	Play_Th_04_01
5411	桃花四招被击	Th	Play_Th_04_Hit
5412	桃花穿云破月	Th	Play_Th_05_01
5413	桃花五招被击	Th	Play_Th_05_Hit
