nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
2	2	413			疼疼疼疼，全身都好疼，姑娘，这是哪里？我好像做了一个好长好长的梦，梦里面……我所在的船只仿佛经历了一场爆炸，然后我好像跌入水中……哎呀，头好疼……				
2	2		413	（轻拍胸口）你总算醒啦，担心死我了，不过你受了重伤，暂时不能使用内力，可不是一时半会就能好的喔，唉，说来也奇怪，这几日怎地这么多人重伤流落到忘忧岛。					
2	2				什么！你……你说我苦修多年的内力……都没了！？				
2	2		413	你不要太过担心，也许……也许很快就会好过来呢？听闻山上有一种能够医治内伤的草药！我也会采来尽力为你医治的！					
2	2				（这姑娘心地真好）……尚未多谢救命之恩，还未请教姑娘芳名？对了！与我一同前往战场的人呢？对了！还有卓大哥呢？他怎么样了？				
2	2		413	（摇头）我并没有做什么，你应该谢谢殷方，若非他喜欢乱跑，在树下发现你，恐怕你早就殒命多时了。至于你所说的同门师兄弟，以及卓大哥，我却没有见到。					
2	2				（也不知他们是否安然无恙，罢了，先去道谢吧）多谢纳兰姑娘告知，我这便去找殷小兄！				
3	3				先前的事纳兰姑娘都已经告诉我了，谢谢殷小兄仗义相救！				
3	3		414	嗨，我只是喜欢到处闯荡，碰巧遇见了你躺在那儿，总不能见死不救吧！你要想谢我，等你伤好了去闯荡江湖的时候，可得带上我！我要学好武功，除尽天下大侠！一言为定！					
3	3				（这么小的孩子，就胡言乱语什么除尽天下大侠，就算我愿意，你父母也不愿意）好好好！一言为定！				
4	4	416			岛主，晚辈特来感谢救命之恩。				
4	4		416	（摆手）不必多礼，发现者乃殷方，救治者乃小女，与我并无多大干系。嗯，看来你的外伤已基本痊愈了，只是内伤尚未复原，便在此间疗养一番，待伤好再离开不迟。					
4	4				是，多谢前辈！晚辈想四处走走，就先行告辞了。				
4	4		416	去吧，附近野兽不多，唯一需注意的是后山的毒蜂，此蜂毒性猛烈，遇之则退，不可与之为敌，否则会引来更大批的毒蜂，切记。					
4	4				（去逛逛之前先去跟纳兰姑娘说一声吧）谢前辈提醒！				
5	5				纳兰姑娘，如今我伤势已经恢复得差不多了，想要四处看看，顺便去活动活动筋骨。				
5	5		413	嗯嗯，你伤势刚刚才复原，可要小心一些，莫要逞强，保重自己才最重要。					
5	5				姑娘放心，我会多加小心的。				
7	7		413	$N，你回来啦！走吧！我带你去见一个人！					happy
7	7				见人？是谁？				
7	7		413	他和你一样有些类似，不过他是从山崖上坠落下来受了重伤的！走吧走吧！跟我来就知道了！					
8	8				纳兰姑娘，这位是？				
8	8		413	杨大哥他……噢，他叫做杨影枫，被人暗算，从山崖坠落身受重伤……对了，影枫哥哥，你看！$N伤势已经复原！再过一阵你也一定会好起来的！					
8	8		415	不要安慰我了，我如今功力全失，成了一个废人，不但旧仇难报，即使在九泉之下，也无颜见爹爹，更别说什么天下第一了……还有何生趣…… 					sad
8	8		413	杨大哥，你不要胡思乱想啦，好好休息，我这就去为你熬药啦！					
9	9		719	（纳兰真在离开的过程中对你使了个眼色，轻轻扯了一下你的衣袖）					
11	11				纳兰姑娘，怎么方才不过去？这般小心所为何事？				
11	11		413	（迟疑）我看你的伤已好得差不多了，不知道你能不能陪我去一趟后山，杨大哥内伤未愈，所需一味草药，乃忘忧岛后山独有，后山有毒蜂，爹爹不让我去，很危险，你要考虑清楚。					
11	11				（沉吟）纳兰姑娘，取药不难，只是后山有毒蜂，你还是莫要前去了，我将草药形状记下，自行前去即可。				
11	11		413	不行！我不能让你独自一个人去冒险！不过这个毒蜂真的好厉害，正巧胡神医在此间做客，他可是天下首屈一指的名医，也许他会有办法！					
11	11				那我们赶快去见见胡神医吧！				
12	12		417	哟，纳兰小丫头，你怎么有空来找我？（眼睛一亮）莫非是准备跟老夫前去药王谷学医了？这才对嘛！你天资卓越，未来定能成为名动天下的名医！					
12	12				原来您就是鼎鼎大名的胡神医，我与纳兰姑娘此次前来相见，是想问问您可知有什么方法能抵御毒蜂的毒性。				
12	12		417	（脸色一冷）哼，就知道这小丫头找我准没好事，一点也不顺我的心，你说说，天下有几个名医能高明得过我？偏生你就是不肯拜我为师！唉！					
12	12		413	（拉住胡神医衣袖）胡神医，您就帮帮我吧，我最近新学了几道拿手小菜，回头做给您吃。					
12	12		417	哼，老夫岂会为这些所动？想要就找殷童丫头，这臭丫头不但天赋好，口中的姥姥也不知道是谁，教她的医术颇具一格，唉，这么一棵好苗子要是我的徒弟可就好喽！					
12	12				多谢胡神医相告！纳兰姑娘你就在此等我片刻，我去去就回！				
13	13				小姑娘，不知道你能不能告诉我殷童姑娘身在何处？				
13	13		1340	嗯？你找我呀？是纳兰伯伯让你来的，还是胡伯伯让你来的？					
13	13				（什么！想不到连胡神医都觉得天赋不凡的竟是如此之小的姑娘……）你……你就是殷童？在下冒昧，想问问赤心花的下落。				
13	13		1340	你是大侠吗？					
