nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
9001	JYFL1_1	追根溯源	盛传日前金军大举进攻临安城时城门眼看不保，有一剑仙从天而降，一柄长剑破敌数千，城内百姓愈传愈神，定要追根寻底，拜访一下这位剑仙。	探听临安[FFFE0D]居民[-]的传言	探听临安[FFFE0D]居民[-]的传言	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"				9002				1	1	9001			BasicExp|10			9	1	"[url=dialog:test, 9001]"												
9002	JYFL1_2	追根溯源	城内百姓也是道听途说，他们口中的话并没有那么可信，我还是去城门听听守军怎么说吧！	听听临安[FFFE0D]守军[-]的所见所闻	听听临安[FFFE0D]守军[-]的所见所闻	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"			9001	9003				1	1	9002			BasicExp|10			9	1	"[url=dialog:test, 9002]"												
9003	JYFL1_3	追根溯源	听守军的描述此人应是一位武林高手，不如去听听武林人士是否认识此人。	听听临安[FFFE0D]侠士[-]的看法	听听临安[FFFE0D]侠士[-]的看法	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"			9002	9004				1	1	9003			BasicExp|10			9	1	"[url=dialog:test, 9003]"												
9004	JYFL1_4	追根溯源	这些武林人士竟也不知这位高人所属何门派，不如去请教一下玄天道人，他见多识广，必有高见！	找[FFFE0D]玄天道人[-]请教此事	找[FFFE0D]玄天道人[-]请教此事	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9003	9005	9004	626							BasicExp|10			9	1													
9005	JYFL1_5	追根溯源	一场浩劫……老板娘公孙惜花人称江湖百晓生，想必有点线索。	找[FFFE0D]公孙惜花[-]询问线索	找[FFFE0D]公孙惜花[-]询问线索	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9004	9006	9005	99							BasicExp|10			9	1													
9006	JYFL1_6	追根溯源	这老板娘还跟我卖关子，唉，没办法，谁让我有求于人呢！	惩治[FFFE0D]流氓[-]	惩治[FFFE0D]流氓[-]	"[url=goanddosomething:test, 404, 12669, 4830, autofight, 1]"				9005	9007				1					BasicExp|10	1013|5	1	9	1	"[url=dialog:test, 9006]"												
9007	JYFL1_7	追根溯源	帮老板娘教训了这些流氓，想必她应该能告诉我那段往事了吧！	再访[FFFE0D]公孙惜花[-]	再访[FFFE0D]公孙惜花[-]	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9006	9008	9007	99							BasicExp|10			9	1													
9008	JYFL2_1	华山旧事	忘忧酒馆？我就去会会这个神秘人，没什么收获的话我就来个一醉忘忧！	到城外忘忧酒馆	到城外忘忧酒馆	"[url=goanddosomething:test, 15, 8500, 18000, pos, 4100, 2257, 17919]"				9007	9009				1					BasicExp|10			9	1	"[url=dialog:test, 9008]"				4100								
9009	JYFL2_2	华山旧事	这位前辈鹤发童颜，举止俨然一派宗师，必非常人，询问时一定谦恭一点。	与[FFFE0D]神秘人[-]交谈	与[FFFE0D]神秘人[-]交谈	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9008	9010	9009	3197							BasicExp|10			9	1													
9010	JYFL2_3	华山旧事	还是先去酒馆老板那里给他买点酒吧，万一他真的知道什么有价值的秘密呢！	前去买酒	前去买酒	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9009	9011	9010	3198							BasicExp|10			9	1													
9011	JYFL2_4	华山旧事	酒没买到，不知这神秘人会不会跟我说线索啊，不管了，还是再去找他一下吧！	答复[FFFE0D]神秘人[-]	答复[FFFE0D]神秘人[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9010	9012	9011	3197							BasicExp|10			9	1													
