nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishTaskNpcId	nFinishDialogId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_ExtInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
7001	MaterialsTask_1_1	[悬]宋金战场	简单难度悬赏任务，参加一次[FFFE0D]宋金战场[-]，且最终排名排在前10	[FFFE0D]宋金战场[-]中最终积分排在前10	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Sjzc10			11	1												1
7002	MaterialsTask_1_2	[悬]心魔幻境	简单难度悬赏任务，参加一次[FFFE0D]心魔幻境[-]，且获得一次良好及以上评价	[FFFE0D]心魔幻境[-]中获得良好及以上评价	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						XmhjC			11	1												1
7003	MaterialsTask_1_3	[悬]白虎堂	简单难度悬赏任务，参加一次[FFFE0D]白虎堂[-]，且成功进到第4层	到达[FFFE0D]白虎堂[-]的第四层	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Bht4			11	1												1
7004	MaterialsTask_1_4	[悬]家族运镖	简单难度悬赏任务，协助家族成员完成一次[FFFE0D]家族运镖[-]	参加一次[FFFE0D]家族运镖[-]	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Jzyb			11	1												1
7005	MaterialsTask_1_5	[悬]门派竞技	简单难度悬赏任务，参加一次[FFFE0D]门派竞技[-]，且晋升至十六强	[FFFE0D]门派竞技[-]中获得十六强	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Mpjj16			11	1												1
7006	MaterialsTask_1_6	[悬]通天塔	简单难度悬赏任务，参加一次[FFFE0D]通天塔[-]，且成功登上第五层	登上[FFFE0D]通天塔[-]第五层	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Ttt5			11	1												1
7007	MaterialsTask_1_7	[悬]群英会	简单难度悬赏任务，参加一次[FFFE0D]群英会[-]，且获得6次胜利	[FFFE0D]群英会[-]中完成六胜	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						Qyh6			11	1												1
7008	MaterialsTask_1_8	[悬]惩恶任务	简单难度悬赏任务，[FFFE0D]惩恶任务[-]中击败一个蓝色精英	[FFFE0D]惩恶任务[-]中击败一个蓝色精英	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61014		1						CerwBlue			11	1												1
7009	MaterialsTask_2_1	[悬]宋金战场	普通难度悬赏任务，参加一次[FFFE0D]宋金战场[-]，且期间击杀任意灵兽获得增益效果	[FFFE0D]宋金战场[-]中击杀灵兽	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61015		1						SjzcBuff			11	1												1
7010	MaterialsTask_2_2	[悬]宋金战场	普通难度悬赏任务，参加一次[FFFE0D]宋金战场[-]，且最终排名排在前5	[FFFE0D]宋金战场[-]中最终积分排在前5	向[FFFE0D]万金财[-]汇报情况	[url=openwnd:test, CalendarPanel]	[url=npc:testtt,$F,15]					190	61015		1						Sjzc5			11	1												1
