nId	szDesc	nNeed	nStudentExp	nTeacherRenown
1	打开10个黄金宝箱	10	250000	50
2	打开50个黄金宝箱	50	500000	100
3	成功加入家族	1	500000	100
4	成功获取5个家族礼盒	5	250000	50
5	成功获取50个家族礼盒	50	500000	100
6	家族金库捐献5次	5	250000	50
7	家族金库捐献50次	50	500000	100
8	领取2次家族拍卖分红	2	250000	50
9	领取20次家族拍卖分红	20	500000	100
10	完成10次挖宝	10	250000	50
11	完成50次挖宝	50	500000	100
12	成功购买摆摊物品	1	250000	50
13	成功卖出摆摊物品	1	500000	100
14	将身上1件装备洗满6条属性	1	500000	100
15	将全身10件装备洗满6条属性	1	2500000	500
16	全身穿满传承以上装备	1	1000000	200
17	全身穿满稀有装备	1	5000000	1000
18	每日目标完成度达到100	1	500000	100
19	累计7天每日目标完成度达到100	7	1000000	200
20	开启2次修炼状态	2	250000	50
21	开启10次修炼状态	10	500000	100
22	完成5次惩恶任务	5	250000	50
23	完成50次惩恶任务	50	500000	100
24	组队秘境达成优秀以上评价	1	250000	50
25	组队秘境达成卓越评价	1	2500000	500
26	武神殿排名进入前1500名	1	500000	100
27	武神殿排名进入前500名	1	2500000	500
28	成功通过6轮英雄挑战	1	250000	50
29	成功通过10轮英雄挑战	1	1000000	200
30	武林盟主个人排名前1500	1	500000	100
31	武林盟主个人排名前500	1	2500000	500
32	参与1次野外首领	1	500000	100
33	参与1次历代名将	1	500000	100
34	完成1轮商会任务	1	250000	50
35	完成10轮商会任务	10	500000	100
36	参加1次宋金战场	1	250000	50
37	参加10次宋金战场	10	500000	100
38	参加1次家族试炼	1	250000	50
39	参加3次家族试炼	3	500000	100
40	全身装备强化+20	1	500000	100
41	全身装备强化+30	1	1000000	200
42	全身装备强化+40	1	2500000	500
43	镶嵌20个1级以上魂石	1	500000	100
44	镶嵌20个2级以上魂石	1	1000000	200
45	镶嵌20个3级以上魂石	1	2500000	500
46	镶嵌20个4级以上魂石	1	5000000	1000
47	参加1次门派竞技	1	250000	50
48	参加3次门派竞技	3	500000	100
49	达到惊鸿头衔	1	250000	50
50	达到凌云头衔	1	500000	100
51	达到御空头衔	1	1000000	200
52	达到潜龙头衔	1	5000000	1000
53	与师傅亲密度达到10级	1	250000	50
54	与师傅亲密度达到15级	1	500000	100
55	与师傅亲密度达到20级	1	1000000	200
56	珍宝阁购买10个打折白水晶	10	250000	50
57	珍宝阁购买100个打折白水晶	100	500000	100
58	珍宝阁购买50个打折绿水晶	50	1000000	200
59	购买7日礼包	1	500000	100
60	购买30日礼包	1	500000	100
61	购买1次每日礼包	1	250000	50
62	购买10次每日礼包	10	500000	100
63	购买一本万利	1	1000000	200
64	达到剑侠尊享6	1	5000000	1000
