Type	Target	StartFrame	EndFrame	Value1	Value2
Move	Enemy0	0	5	{1400,188,0}	{956.3785,188,0}
Move	Enemy0	5	10	{956.3785,188,0}	{697.3118,188,0}
Move	Enemy0	10	15	{697.3118,188,0}	{581,188,0}
Move	Enemy1	0	5	{1400,76,0}	{956.3785,76,0}
Move	Enemy1	5	10	{956.3785,76,0}	{697.3118,76,0}
Move	Enemy1	10	15	{697.3118,76,0}	{581,76,0}
Move	Enemy2	0	5	{1400,-36,0}	{956.3785,-36,0}
Move	Enemy2	5	10	{956.3785,-36,0}	{697.3118,-36,0}
Move	Enemy2	10	15	{697.3118,-36,0}	{581,-36,0}
Move	Enemy3	0	5	{1400,-148,0}	{956.3785,-148,0}
Move	Enemy3	5	10	{956.3785,-148,0}	{697.3118,-148,0}
Move	Enemy3	10	15	{697.3118,-148,0}	{581,-148,0}
Move	My0	0	5	{-1400,209,0}	{-891.0023,209,0}
Move	My0	5	10	{-891.0023,209,0}	{-659.3336,209,0}
Move	My0	10	15	{-659.3336,209,0}	{-577,209,0}
Move	My1	0	5	{-1400,97,0}	{-891.0023,97,0}
Move	My1	5	10	{-891.0023,97,0}	{-659.3336,97,0}
Move	My1	10	15	{-659.3336,97,0}	{-577,97,0}
Move	My2	0	5	{-1400,-15,0}	{-891.0023,-15,0}
Move	My2	5	10	{-891.0023,-15,0}	{-659.3336,-15,0}
Move	My2	10	15	{-659.3336,-15,0}	{-577,-15,0}
Move	My3	0	5	{-1400,-127,0}	{-891.0023,-127,0}
Move	My3	5	10	{-891.0023,-127,0}	{-659.3336,-127,0}
Move	My3	10	15	{-659.3336,-127,0}	{-577,-127,0}
