Type	Target	StartFrame	EndFrame	Value1	Value2
AnchorMove	Anchor3	0	1	{0.0000,0.0000,0.0000}	{-433.6611,0.0000,0.0000}
AnchorMove	Anchor3	1	2	{-433.6611,0.0000,0.0000}	{-700.0000,0.0000,0.0000}
AnchorMove	Anchor2	0	1	{0.0000,0.0000,0.0000}	{0.0000,-161.6409,0.0000}
AnchorMove	Anchor2	1	2	{0.0000,-161.6409,0.0000}	{0.0000,-400.0000,0.0000}
AnchorMove	Anchor4	0	1	{0.0000,0.0000,0.0000}	{0.0000,53.7500,0.0000}
AnchorMove	Anchor4	1	2	{0.0000,53.7500,0.0000}	{0.0000,100.0000,0.0000}
Move	BtnSelect	0	1	{-179.0000,261.0000,0.0000}	{-176.9750,381.8127,0.0000}
Move	BtnSelect	1	2	{-176.9750,381.8127,0.0000}	{-174.9500,500.0000,0.0000}
Move	SchoolSubs	0	1	{-135.0000,45.0000,0.0000}	{82.4638,5.6250,0.0000}
Move	SchoolSubs	1	2	{82.4638,5.6250,0.0000}	{300.0000,-18.0000,0.0000}
AnchorMove	BtnAnchor	0	1	{0.0000,0.0000,0.0000}	{-214.4500,0.0000,0.0000}
AnchorMove	BtnAnchor	1	2	{-214.4500,0.0000,0.0000}	{-428.9000,0.0000,0.0000}
Move	maleBTN	0	1	{-200.0000,-166.0000,0.0000}	{100.0000,-166.0000,0.0000}
Move	maleBTN	1	2	{100.0000,-166.0000,0.0000}	{400.0000,-166.0000,0.0000}
Move	FemaleBTN	0	1	{-88.0000,-166.0000,0.0000}	{206.0000,-166.0000,0.0000}
Move	FemaleBTN	1	2	{206.0000,-166.0000,0.0000}	{500.0000,-166.0000,0.0000}
Rotation	BtnArrow3	0	1	{0.0000,0.0000,-180.0000}	{0.0000,0.0000,-180.0000}
Rotation	BtnArrow3	1	2	{0.0000,0.0000,-180.0000}	{0.0000,0.0000,-180.0000}
