Type	Scale	Alpha	Offset	Angle
None	0,1 0.1,1.5 0.2,1.5 0.8,1 1,1	0,1 0.4,1 0.8,0	0,10 0.1,80 0.3,80 0.8,190	0,90 1,90 2,90
HIT_NORMAL	0,1 0.1,1.5 0.2,1.5 0.8,1 1,1	0,1 0.4,1 0.8,0	0,10 0.1,80 0.3,80 0.8,190	0,90 1,90 2,90
HIT_DEADLY	0,1 0.1,1.5 0.2,1.5 0.8,1 1,1	0,1 0.4,1 0.8,0	0,10 0.1,80 0.3,80 0.8,210	0,90 1,90 2,90
HIT_MISS	0,0 0.5,1 1,1 2,1	0,0 0.5,1 1,1 1.5,0	0,50 0.5,150 1,150 2,150	0,120 1,90 2,90
HURT_NORMAL	0,1 0.1,1.5 0.2,1.5 0.8,1 1,1	0,1 0.4,1 0.8,0	0,10 0.1,80 0.3,80 0.8,190	0,90 1,90 2,90
HURT_DEADLY	0,1 0.1,1.5 0.2,1.5 0.8,1 1,1	0,1 0.4,1 0.8,0	0,10 0.1,80 0.3,80 0.8,210	0,90 1,90 2,90
HURT_MISS	0,0 0.5,1 1,1 2,1	0,0 0.5,1 1,1 1.5,0	0,50 0.5,150 1,150 2,150	0,120 1,90 2,90
TREATMENT	0,0 0.5,1 1,1 2,1	0,0 0.5,1 1,1 2,0	0,50 0.5,150 0.8,150 2,300	0,120 1,90 2,90
ADD_EXP	0,0 0.5,1 1,1 2,1	0,0 0.5,1 1,1 2,0	0,50 0.5,150 0.8,150 2,300	0,120 1,90 2,90
VITALITY	0.5,1 1,1 2,1 1,0	0,0.5 0.5,1 1,0	0,10 0.1,10 1,180	0,90 1,90 2,90
STRENGTH	0.5,1 1,1 2,1 1,0	0,0.5 0.5,1 1,0	0,10 0.1,10 1,180	0,90 1,90 2,90
DEXTERITY	0.5,1 1,1 2,1 1,0	0,0.5 0.5,1 1,0	0,10 0.1,10 1,180	0,90 1,90 2,90
ENERGY	0.5,1 1,1 2,1 1,0	0,0.5 0.5,1 1,0	0,10 0,10 0.1,10 1,180	0,90 1,90 2,90
